iditem,documento,titulo,idCurricula
489,ICT-004-19,Control de files detrabajo,116
490,ICT-005-19,Aignaciòn de còdigos,116
491,ICT-011-2012,Inspección de Ferrotolvas y Contenedores a cargar Polietileno,116
492,API MPMS1,Manual de Estándares de Medición de Petróleo Capítulo 1 Vocabulario - Second Edition,116
493,API MPMMS 3.1,Manual of Petroleum Measurement Standards Chapter 3 - Tank Gauging Section 1A - Standard Practice for the Manual Gauging of Petroleum and Petroleum Products - Second Edition,116
494,API MPMS7,Manual of Petroleum Measurement Standards Chapter 7 - Temperature Determination - First Edition,116
495,API MPMS 17.2 SPANISH,Manual de Estándares de Medición de Petróleo Capítulo 17—Mediciones Marítimas Sección 2—Mediciones de cargas a bordo de buque tanques - SEGUNDA EDICIÓN,116
496,API MPMS 8.1,Manual of Petroleum Measurement Standards Chapter 8 - Sampling Section 1 - Standard Practice for Manual Sampling of Petroleum and Petroleum Products - Third Edition,116
497,AOCS C 1-47,SAMPLING OIL,116
498,NMX-FF-03471-SFI-2002,PRODUCTOS ALIMENTICIOS NO INDUSTRIALIZADOS PARA CONSUMO HUMANO - CEREALES – PARTE I: MAÍZ BLANCO PARA PROCESO ALCALINO PARA TORTILLAS DE MAÍZ Y PRODUCTOS DE MAÍZ NIXTAMALIZADO - ESPECIFICACIONES Y MÉTODOS DE PRUEBA ,116
499,NMX-FF-03471-SFI-2003,INDUSTRIA AZUCARERA - AZÚCAR REFINADA - ESPECIFICACIONES ,116
500,NMX-FF-03471-SFI-2004,PRODUCTOS ALIMENTICIOS NO INDUSTRIALIZADOS.CEREALES. TRIGO. (TRITICUM AESTIVUM L Y TRITICUM DURUM DESF.).ESPECIFICACIONES Y MÉTODOS DE PRUEBA.,116
501,NMX-FF-03471-SFI-2005,ALIMENTOS PARA ANIMALES - MUESTREO DE ALIMENTOS BALANCEADOS E INGREDIENTES MAYORES ,116
502,NMX-FF-03471-SFI-2006,DURUM WHEAT (TRITICUM DURUM )- SPECIFICATION. ,116
503,NMX-FF-03471-SFI-2007,WHEAT (TRITICUM AESTIVUM l.) SPECIFICATION,116
504,INTERNO 39,Buenas Prácticas de Documentación,116
505,INTERNO 168,Política de Calidad,116
506,INTERNO 40,Buenas Prácticas de Laboratorio,116
507,INTERNO 135,NOM 17025 Nociones,116
508,USDA,U.S. STANDARDS FOR GRAINS AND SEEDS ,116
509,FOSFA,"STANDARS FOR OILS, SEEDS AND FATS ",116
510,GAFTA,STANDARDS FOR GRAINS AND SEEDS,116
511,MIGC-ISO 9001 Y 17025,Manual Integral del sistema de gestión de Calidad,116
512,PC-009-G,Acción correctiva y trabajo de ensayo o servicio no conforme,116
513,PC-012-G,Auditorías internas ,116
514,PC-019-G,Acciones preventivas,116
515,iLearn,Código de ética,116
516,PC-008-G,Control de Documentos ,116
517,PC-013-G,Procedimientos de Calidad,116
518,PC-023-G,Registros de Calidad,116
519,PC-028-G,Mejora Continua e Innovación,116
520,PC-014-G,Instrucciones de Trabajo,116
521,ICT-049-10,Técnicas para el Análisis de la Causa Raíz,116
522,HS01,Política y procedimientos de los programas de seguridad ,116
523,NMX-FF-03471-SFI-2005,Manual del sistema de gestión ambiental,116
524,NMX-FF-03471-SFI-2006,Reglas generales de seguridad,116
525,NMX-FF-03471-SFI-2007,PRE ,116
526,PG 02,"Objetivos, Metas y planes",116
527,PG 05,"Política, Aspectos ambientales y Requerimientos Legales ",116
528,HS03,Clasificaciones de Accidentes / Incidentes,116
529,HS03,FR6401B Informe de investigación de accidente/incidente,116
530,HSAP06,Plan de Seguridad contra Incendios (NOM-002-STPS) ,116
531,PA 01,Control de SOAs ,116
532,INTERNO 11,11. Liderazgo,116
533,INTERNO 12,12. Tolerancia a la Frustración,116
534,INTERNO 13,13. Flexibilidad al Cambio,116
535,INTERNO 14,14. Competencias de la Organización,116
536,INTERNO 15,15. Integridad,116
537,INTERNO 16,16. Enfoque Comercial,116
538,INTERNO 17,17. Profesionalismo,116
539,INTERNO 18,18. Responsabilidad,116
540,INTERNO 19,19. Servicio al Cliente,116
541,INTERNO 20,20. Enfoque a Resultados,116
542,INTERNO 1,1. Planeación,116
543,INTERNO 2,2. Organización,116
544,INTERNO 3,3. Dirección,116
545,INTERNO 4,4. Control,116
546,INTERNO 5,5. Auto-Administración y Disciplina,116
547,INTERNO 6,6. Comunicación,116
548,INTERNO 7,7. Creatividad / Innovación,116
549,INTERNO 8,8. Participación e Iniciativa,116
550,INTERNO 9,9. Habilidad de Mando y Autoridad,116
551,INTERNO 10,10. Vitalidad,116
552,ICT-RH-019-19,Inducción,117
553,PC-001-G,Seguridad y confidencialidad,117
554,PC-003-C,Determinación de Cantidades por Draft Survey,117
555,PC-007-C,Muestreo de Productos Sólidos ,117
556,PC-011-G,Envío de Muestras,117
557,PC-001-C,"Medición de Temperatura, Volumen y Muestreo para el Calculo de Productos Líquidos",117
558,NMX-FF-036-1996,"Productos Alimenticios no industrializados, cereales, trigo (TRITICUMAESTIVUM L Y TRITICUM DURUM DESF.).Especificaciones y Métodos de Prueba",117
559,NMX-Y-111-SCFI-2010,Alimentos para animales - Muestreo de Alimentos balanceados e ingredientes mayores,117
560,ISO 11051,Durum weat (Triticum durum Desf.)- Specification. ,117
561,GRAIN INSPECTION HANDBOOK,WHEAT,117
562,PC-002-G,Planificación del Servicio ,117
563,PC-006-C,Determinación de Cantidades por Diferencia de Peso ,117
564,ILT/009/MXM,Consolidación de Contenedores ,117
565,ILT/013/MXM en revision 2015,Inspecciones marinas a descargas de aceites vegetales y grasas animales ,117
566,ILT /023/MXM,Consolidación de carga de polietileno en centro embarcador autorizado ,117
567,ILT/024/MXM,Consolidación y muestreo de harina de pescado en planta Maz Industrial. ,117
568,ILT/025/MXM,Minerales de hierro-Muestreo y procesos de preparación de muestras ,117
569,ILT/026/MXM,Minerales de manganeso-Muestreo-Parte 1:Método de reducción por incrementos,117
570,ILT/027/MXM,Minerales de manganeso-Muestreo-Parte2:Preparación de muestras,117
571,ILT/028/MXM,Minerales de manganeso-Determinación de contenido de humedad.,117
572,ILT/029/MXM,Consolidación y muestreo de harina de pescado. ,117
573,ICT--009-10,Conservación de Muestras por Tiempo Indefinido,117
574,ICT-013-10,H2S en petróleo combustible                           ,117
575,ICT-011-2012,Inspección de Ferrotolvas y Contenedores a cargar Polietileno,117
576,API MPMS1,Manual de Estándares de Medición de Petróleo Capítulo 1 Vocabulario - Second Edition,117
577,API MPMMS 3.1,Manual of Petroleum Measurement Standards Chapter 3 - Tank Gauging Section 1A - Standard Practice for the Manual Gauging of Petroleum and Petroleum Products - Second Edition,117
578,API MPMS7,Manual of Petroleum Measurement Standards Chapter 7 - Temperature Determination - First Edition,117
579,API MPMS 17.2 SPANISH,Manual de Estándares de Medición de Petróleo Capítulo 17—Mediciones Marítimas Sección 2—Mediciones de cargas a bordo de buque tanques - SEGUNDA EDICIÓN,117
580,API MPMS 8.1,Manual of Petroleum Measurement Standards Chapter 8 - Sampling Section 1 - Standard Practice for Manual Sampling of Petroleum and Petroleum Products - Third Edition,117
581,AOCS C 1-47,SAMPLING OIL,117
582,NMX-FF-03471-SFI-2002,PRODUCTOS ALIMENTICIOS NO INDUSTRIALIZADOS PARA CONSUMO HUMANO - CEREALES – PARTE I: MAÍZ BLANCO PARA PROCESO ALCALINO PARA TORTILLAS DE MAÍZ Y PRODUCTOS DE MAÍZ NIXTAMALIZADO - ESPECIFICACIONES Y MÉTODOS DE PRUEBA ,117
583,NMX-FF-03471-SFI-2003,INDUSTRIA AZUCARERA - AZÚCAR REFINADA - ESPECIFICACIONES ,117
584,NMX-FF-03471-SFI-2004,PRODUCTOS ALIMENTICIOS NO INDUSTRIALIZADOS.CEREALES. TRIGO. (TRITICUM AESTIVUM L Y TRITICUM DURUM DESF.).ESPECIFICACIONES Y MÉTODOS DE PRUEBA.,117
585,NMX-FF-03471-SFI-2005,ALIMENTOS PARA ANIMALES - MUESTREO DE ALIMENTOS BALANCEADOS E INGREDIENTES MAYORES ,117
586,NMX-FF-03471-SFI-2006,DURUM WHEAT (TRITICUM DURUM )- SPECIFICATION. ,117
587,NMX-FF-03471-SFI-2007,WHEAT (TRITICUM AESTIVUM l.) SPECIFICATION,117
588,INTERNO 39,Buenas Prácticas de Documentación,117
589,INTERNO 168,Política de Calidad,117
590,INTERNO 40,Buenas Prácticas de Laboratorio,117
591,INTERNO 135,NOM 17025 Nociones,117
592,USDA,U.S. STANDARDS FOR GRAINS AND SEEDS ,117
593,FOSFA,"STANDARS FOR OILS, SEEDS AND FATS ",117
594,GAFTA,STANDARDS FOR GRAINS AND SEEDS,117
595,MIGC-ISO 9001 Y 17025,Manual Integral del sistema de gestión de Calidad,117
596,PC-019-G,Acciones preventivas,117
597,iLearn,Código de ética,117
598,PC-008-G,Control de Documentos ,117
599,PC-013-G,Procedimientos de Calidad,117
600,PC-023-G,Registros de Calidad,117
601,PC-028-G,Mejora Continua e Innovación,117
602,HS01,Política y procedimientos de los programas de seguridad ,117
603,MS.01,Manual del sistema de gestión ambiental,117
604,MSBC-011,Reglas generales de seguridad,117
605,PA 03,PRE ,117
606,PG 02,"Objetivos, Metas y planes",117
607,PG 05,"Política, Aspectos ambientales y Requerimientos Legales ",117
608,HS03,Clasificaciones de Accidentes / Incidentes,117
609,HS03,FR6401B Informe de investigación de accidente/incidente,117
610,HSAP06,Plan de Seguridad contra Incendios (NOM-002-STPS) ,117
611,PA 01,Control de SOAs ,117
612,INTERNO 11,11. Liderazgo,117
613,INTERNO 12,12. Tolerancia a la Frustración,117
614,INTERNO 13,13. Flexibilidad al Cambio,117
615,INTERNO 14,14. Competencias de la Organización,117
616,INTERNO 15,15. Integridad,117
617,INTERNO 16,16. Enfoque Comercial,117
618,INTERNO 17,17. Profesionalismo,117
619,INTERNO 18,18. Responsabilidad,117
620,INTERNO 19,19. Servicio al Cliente,117
621,INTERNO 20,20. Enfoque a Resultados,117
622,INTERNO 1,1. Planeación,117
623,INTERNO 2,2. Organización,117
624,INTERNO 3,3. Dirección,117
625,INTERNO 4,4. Control,117
626,INTERNO 5,5. Auto-Administración y Disciplina,117
627,INTERNO 6,6. Comunicación,117
628,INTERNO 7,7. Creatividad / Innovación,117
629,INTERNO 8,8. Participación e Iniciativa,117
630,INTERNO 9,9. Habilidad de Mando y Autoridad,117
631,INTERNO 10,10. Vitalidad,117
632,ICT-RH-019-19,Inducción,118
633,PC-001-G,Seguridad y confidencialidad,118
634,PC-007-C,Muestreo de Productos Sólidos ,118
635,PC-006-C,Determinación de Cantidades por Diferencia de Peso ,118
636,ILT/009/MXM,Consolidación de Contenedores ,118
637,ILT /023/MXM,Consolidación de carga de polietileno en centro embarcador autorizado ,118
638,ILT/024/MXM,Consolidación y muestreo de harina de pescado en planta Maz Industrial. ,118
639,ILT/025/MXM,Minerales de hierro-Muestreo y procesos de preparación de muestras ,118
640,ILT/026/MXM,Minerales de manganeso-Muestreo-Parte 1:Método de reducción por incrementos,118
641,ILT/027/MXM,Minerales de manganeso-Muestreo-Parte2:Preparación de muestras,118
642,ILT/028/MXM,Minerales de manganeso-Determinación de contenido de humedad.,118
643,ILT/029/MXM,Consolidación y muestreo de harina de pescado. ,118
644,ICT--009-10,Conservación de Muestras por Tiempo Indefinido,118
645,ICT-011-2012,Inspección de Ferrotolvas y Contenedores a cargar Polietileno,118
646,API MPMS1,Manual de Estándares de Medición de Petróleo Capítulo 1 Vocabulario - Second Edition,118
647,API MPMMS 3.1,Manual of Petroleum Measurement Standards Chapter 3 - Tank Gauging Section 1A - Standard Practice for the Manual Gauging of Petroleum and Petroleum Products - Second Edition,118
648,API MPMS7,Manual of Petroleum Measurement Standards Chapter 7 - Temperature Determination - First Edition,118
649,API MPMS 17.2 SPANISH,Manual de Estándares de Medición de Petróleo Capítulo 17—Mediciones Marítimas Sección 2—Mediciones de cargas a bordo de buque tanques - SEGUNDA EDICIÓN,118
650,API MPMS 8.1,Manual of Petroleum Measurement Standards Chapter 8 - Sampling Section 1 - Standard Practice for Manual Sampling of Petroleum and Petroleum Products - Third Edition,118
651,AOCS C 1-47,SAMPLING OIL,118
652,NMX-FF-03471-SFI-2002,PRODUCTOS ALIMENTICIOS NO INDUSTRIALIZADOS PARA CONSUMO HUMANO - CEREALES – PARTE I: MAÍZ BLANCO PARA PROCESO ALCALINO PARA TORTILLAS DE MAÍZ Y PRODUCTOS DE MAÍZ NIXTAMALIZADO - ESPECIFICACIONES Y MÉTODOS DE PRUEBA ,118
653,NMX-FF-03471-SFI-2003,INDUSTRIA AZUCARERA - AZÚCAR REFINADA - ESPECIFICACIONES ,118
654,NMX-FF-03471-SFI-2004,PRODUCTOS ALIMENTICIOS NO INDUSTRIALIZADOS.CEREALES. TRIGO. (TRITICUM AESTIVUM L Y TRITICUM DURUM DESF.).ESPECIFICACIONES Y MÉTODOS DE PRUEBA.,118
655,NMX-FF-03471-SFI-2005,ALIMENTOS PARA ANIMALES - MUESTREO DE ALIMENTOS BALANCEADOS E INGREDIENTES MAYORES ,118
656,NMX-FF-03471-SFI-2006,DURUM WHEAT (TRITICUM DURUM )- SPECIFICATION. ,118
657,NMX-FF-03471-SFI-2007,WHEAT (TRITICUM AESTIVUM l.) SPECIFICATION,118
658,INTERNO 39,Buenas Prácticas de Documentación,118
659,INTERNO 168,Política de Calidad,118
660,INTERNO 40,Buenas Prácticas de Laboratorio,118
661,INTERNO 135,NOM 17025 Nociones,118
662,USDA,U.S. STANDARDS FOR GRAINS AND SEEDS ,118
663,FOSFA,"STANDARS FOR OILS, SEEDS AND FATS ",118
664,GAFTA,STANDARDS FOR GRAINS AND SEEDS,118
665,MIGC-ISO 9001 Y 17025,Manual Integral del sistema de gestión de Calidad,118
666,PC-019-G,Acciones preventivas,118
667,iLearn,Código de ética,118
668,PC-008-G,Control de Documentos ,118
669,PC-013-G,Procedimientos de Calidad,118
670,PC-023-G,Registros de Calidad,118
671,PC-028-G,Mejora Continua e Innovación,118
672,HS01,Política y procedimientos de los programas de seguridad ,118
673,MS.01,Manual del sistema de gestión ambiental,118
674,MSBC-011,Reglas generales de seguridad,118
675,PA 03,PRE ,118
676,PG 02,"Objetivos, Metas y planes",118
677,PG 05,"Política, Aspectos ambientales y Requerimientos Legales ",118
678,HS03,Clasificaciones de Accidentes / Incidentes,118
679,HS03,FR6401B Informe de investigación de accidente/incidente,118
680,HSAP06,Plan de Seguridad contra Incendios (NOM-002-STPS) ,118
681,PA 01,Control de SOAs ,118
682,INTERNO 11,11. Liderazgo,118
683,INTERNO 12,12. Tolerancia a la Frustración,118
684,INTERNO 13,13. Flexibilidad al Cambio,118
685,INTERNO 14,14. Competencias de la Organización,118
686,INTERNO 15,15. Integridad,118
687,INTERNO 16,16. Enfoque Comercial,118
688,INTERNO 17,17. Profesionalismo,118
689,INTERNO 18,18. Responsabilidad,118
690,INTERNO 19,19. Servicio al Cliente,118
691,INTERNO 20,20. Enfoque a Resultados,118
692,INTERNO 1,1. Planeación,118
693,INTERNO 2,2. Organización,118
694,INTERNO 3,3. Dirección,118
695,INTERNO 4,4. Control,118
696,INTERNO 5,5. Auto-Administración y Disciplina,118
697,INTERNO 6,6. Comunicación,118
698,INTERNO 7,7. Creatividad / Innovación,118
699,INTERNO 8,8. Participación e Iniciativa,118
700,INTERNO 9,9. Habilidad de Mando y Autoridad,118
701,INTERNO 10,10. Vitalidad,118
702,ICT-RH-019-19,Inducción,119
703,PC-001-G,Seguridad y confidencialidad,119
704,PC-004-G,Reporte a clientes,119
705,PC-008-G,Control de documentos,119
706,PC-013-G,Procedimientos de calidad ,119
707,ICT-004-19,Control de files de trabajo,119
708,IAO-009-F,Compras,119
709,MIGC-ISO 9001 Y 17025,Manual integral del sistema de gestión de calidad,119
710,PC-019-G,Acciones preventivas,119
711,iLearn,Código de ética,119
712,PC-008-G,Control de documentos ,119
713,PC-023-G,Registros de calidad,119
714,PC-028-G,Mejora continua e innovación,119
715,HS01,Política y procedimientos de los programas de seguridad ,119
716,MSBC-011,Reglas generales de seguridad,119
717,PA 03,Pre ,119
718,PG 02,"Objetivos, metas y planes",119
719,PG 05,"Política, Aspectos ambientales y Requerimientos Legales ",119
720,HS03,Clasificaciones de Accidentes / Incidentes,119
721,HS03,FR6401B Informe de investigación de accidente/incidente,119
722,HSAP06,Plan de Seguridad contra Incendios (NOM-002-STPS) ,119
723,PA 01,Control de SOAs ,119
724,INTERNO 11,11. Liderazgo,119
725,INTERNO 12,12. Tolerancia a la Frustración,119
726,INTERNO 13,13. Flexibilidad al Cambio,119
727,INTERNO 14,14. Competencias de la Organización,119
728,INTERNO 15,15. Integridad,119
729,INTERNO 16,16. Enfoque Comercial,119
730,INTERNO 17,17. Profesionalismo,119
731,INTERNO 18,18. Responsabilidad,119
732,INTERNO 19,19. Servicio al Cliente,119
733,INTERNO 20,20. Enfoque a Resultados,119
734,INTERNO 1,1. Planeación,119
735,INTERNO 2,2. Organización,119
736,INTERNO 3,3. Dirección,119
737,INTERNO 4,4. Control,119
